1,     7.7199,  25.6100,  0.03
2,     6.9423,  19.0265,  0.23
3,     7.6642,  23.4061,  0.27
4,     7.0316,  22.8086,  0.32
5,     6.8878,  25.0427,  0.06
6,     7.1849,  22.9527,  0.25
7,     3.8446,  10.5249,  0.16
8,     3.7949,  11.2017,  0.14
9,     3.0919,  8.9808,   0.14
10,    3.6562,  11.2578,  0.24
11,    3.2935,  10.1318,  0.17
12,    3.6893,  11.2416,  0.25
13,    3.4131,  10.5656,  2.27
14,    2.5555,  8.0252,   0.19
15,    2.7574,  9.4433,   0.20
16,    2.1642,  7.9109,   0.21
17,    2.3511,  8.9017,   0.25
18,    2.1688,  8.1251,   0.74
19,    1.7033,  6.3351,   0.27
20,    2.2329,  7.7935,   1.11
21,    2.4309,  7.0653,   0.28
22,    2.4022,  6.8429,   0.30
23,    2.3581,  7.5219,   0.34
24,    2.4508,  7.9357,   0.33
25,    2.5735,  7.8595,   0.69
26,    2.4406,  7.2251,   0.40
27,    2.2991,  6.7143,   0.41
28,    2.0685,  5.6796,   0.41
29,    1.9963,  5.7717,   1.07
30,    1.9071,  6.0796,   0.42
31,    1.6707,  4.9792,   0.42
32,    1.8251,  5.5107,   0.47
33,    1.6474,  5.4743,   0.47
34,    1.5165,  5.4210,   0.50
35,    1.2801,  4.2385,   0.51
36,    1.2200,  4.1928,   0.53
37,    1.0453,  3.2091,   0.31
38,    1.2921,  3.3610,   0.60
39,    1.1876,  3.4911,   0.85
40,    1.2520,  3.7512,   1.24
41,    1.2300,  3.8309,   2.34
42,    1.2387,  4.1602,   1.27
43,    1.1094,  3.9153,   0.72
44,    1.0504,  3.2140,   0.67
45,    1.2993,  4.0029,   0.72
46,    1.3704,  4.1281,   0.69
47,    1.5286,  4.5584,   0.61
48,    1.7610,  5.7264,   0.73
49,    1.7256,  5.4928,   0.97
50,    1.5276,  4.5781,   0.77
51,    1.6011,  5.0404,   0.82
52,    1.6116,  4.8129,   0.81
53,    1.5738,  4.8447,   0.83
54,    1.5531,  4.9416,   0.64
55,    1.5837,  5.0263,   1.14
56,    1.4843,  4.5769,   0.93
57,    1.4531,  4.6179,   0.87
58,    1.5009,  5.2019,   1.21
59,    1.5456,  5.0303,   1.52
60,    1.5664,  5.1263,   1.90
61,    1.5549,  4.8924,   1.33
62,    1.4743,  4.6688,   0.99
63,    1.3845,  4.6550,   1.14
64,    1.1668,  3.6230,   1.03
65,    1.2080,  3.9485,   1.08
66,    1.1071,  3.5901,   1.08
67,    1.0312,  3.1214,   1.33
68,    0.9778,  3.0236,   1.11
69,    1.0476,  3.1931,   1.08
70,    0.9517,  2.9123,   1.14
71,    0.9571,  2.8673,   1.14
72,    0.9579,  2.9803,   1.49
73,    1.0726,  3.1600,   1.23
74,    1.2012,  3.5851,   1.30
75,    1.2477,  3.6603,   2.04
76,    1.4446,  4.0558,   1.27
77,    1.7207,  4.8487,   1.86
78,    1.6052,  4.3360,   1.25
79,    1.3991,  4.0094,   1.31
80,    1.4519,  4.0838,   1.38
81,    1.4699,  4.1879,   1.35
82,    1.4771,  4.6398,   1.34
83,    1.5494,  5.0566,   1.41
84,    1.4742,  4.6605,   1.37
85,    1.4240,  4.4952,   1.50
86,    1.3527,  4.1132,   1.77
87,    1.3268,  4.1953,   1.52
88,    1.4449,  4.8027,   1.53
89,    1.4257,  4.7636,   1.52
90,    1.4223,  4.7308,   1.52
91,    1.4144,  4.7317,   1.56
92,    1.4008,  5.0412,   1.44
